STT,Khu vực,Hạng mục,Mô tả gốc,Vật liệu gốc,Vật liệu chuẩn hóa,Quy cách vật liệu,Kích thước gốc,Dài(mm),Rộng(mm),Cao(mm),Sâu(mm),Đường kính(mm),ĐVT,Khối lượng,Ghi chú KL,CĐT cấp,Không thực hiện,Ghi chú nguồn,Đơn giá nguồn,Thành tiền nguồn,Phân loại nghiệp vụ,Trạng thái,Confidence,Cần kiểm tra,Lý do kiểm tra
1,PHÒNG HỌP,Thảm trải sàn,Thảm trải sàn | Theo mẫu được duyệt,Thảm (theo mẫu được duyệt),carpet [per_approved_sample],per_approved_sample,,,,,,,m2,24.15,"Phòng họp: 23 (net), hệ số x1.05",,,Giá bảo minh CN Hà Nội,-,0,G. FLOOR_FINISH,MISSING_PRICE,HIGH,,
2,PHÒNG HỌP,Len chân tường,Len chân tường | Len PVC H100mm,PVC H100mm,PVC [H100mm_baseboard],H100mm_baseboard,H100mm,,,100,,,md,15.75,"Phòng họp: 15 (net), hệ số x1.05",,,Giá bảo minh CN Hà Nội,-,0,A. FINISHING,MISSING_PRICE,HIGH,,
3,PHÒNG HỌP,Rèm che nắng,Rèm che nắng | Rèm cuộn màu trắng,Rèm cuộn màu trắng,roller_blind [white],white,,,,,,,m2,5.8,Phòng họp: 5.8,,,Giá bảo minh CN Hà Nội,-,0,F. CURTAIN,MISSING_PRICE,HIGH,,
4,PHÒNG HỌP,Vách ốp gỗ,Vách ốp gỗ,,,,,,,,,,m2,7.2675,,,,không bao gồm màn hình trình chiếu,-,0,H. WALL_FINISH,MISSING_PRICE,MEDIUM,CÓ,Vật liệu không được ghi rõ trong mô tả
5,PHÒNG HỌP,Nẹp T inox ron vách gỗ,Nẹp T inox ron vách gỗ,Inox,stainless_steel [grade_unknown] phủ brushed,grade_unknown,,,,,,,md,7.95,,,,,-,0,A. FINISHING,MISSING_PRICE,HIGH,,
6,PHÒNG HỌP,Bàn họp,Bàn họp | Mặt bàn MFC phủ melamine vân gỗ | Chân bàn MFC phủ melamine màu đen theo màu được đuyệt | Bao gồm học điện âm bàn | KT: D3200*R1400*C750mm,"MFC phủ melamine vân gỗ, MFC phủ melamine màu đen",MFC phủ melamine,standard,D3200*R1400*C750mm,3200,1400,750,,,cái,1,,,,,-,0,B. BUILT_IN_FURNITURE,MISSING_PRICE,HIGH,,
7,PHÒNG HỌP,Ghế họp,Ghế họp,,,,,,,,,,cái,10,,CÓ,,CĐT cấp,-,0,M. CLIENT_SUPPLIED,CLIENT_SUPPLIED,HIGH,,
8,PHÒNG LÀM VIỆC,Thảm trải sàn,Thảm trải sàn | Theo mẫu được duyệt,Thảm (theo mẫu được duyệt),carpet [per_approved_sample],per_approved_sample,,,,,,,m2,120.96,"Phòng họp làm việc: 112 (net), hệ số x1.05 + 8 phụ trội",,,Giá bảo minh CN Hà Nội,-,0,G. FLOOR_FINISH,MISSING_PRICE,HIGH,,
9,PHÒNG LÀM VIỆC,Len chân tường,Len chân tường | Len PVC H100mm,PVC H100mm,PVC [H100mm_baseboard],H100mm_baseboard,H100mm,,,100,,,md,34.65,"Phòng làm việc: 33 (net), hệ số x1.05",,,Giá bảo minh CN Hà Nội,-,0,A. FINISHING,MISSING_PRICE,HIGH,,
10,PHÒNG LÀM VIỆC,Rèm che nắng,Rèm che nắng | Rèm cuộn màu trắng,Rèm cuộn màu trắng,roller_blind [white],white,,,,,,,m2,45,,,,Giá bảo minh CN Hà Nội,-,0,F. CURTAIN,MISSING_PRICE,HIGH,,
